id,name,logo_path,territory_id,confed_id,official_name,code,gender,type,level,is_active
1,Champions League,res://assets/textures/tournament_logo/1.png,2,20,Afghanistan Champions League,,0,1,1,1
2,Superliga,res://assets/textures/tournament_logo/2.png,5,9,Kategoria Superiore,,0,1,1,1
3,First Division,res://assets/textures/tournament_logo/3.png,5,9,Kategoria e Parë,,0,1,2,1
4,Second Division,res://assets/textures/tournament_logo/4.png,5,9,Kategoria e Dytë,,0,1,3,1
5,Ligue 1,res://assets/textures/tournament_logo/5.png,6,16,Algerian Ligue Professionnelle 1,,0,1,1,1
6,Ligue 2,res://assets/textures/tournament_logo/6.png,6,16,Algerian Ligue Professionnelle 2,,0,1,2,1
7,FFAS Senior League,res://assets/textures/tournament_logo/7.png,7,26,ASFA Soccer League,,0,1,1,1
8,Primera Divisió,res://assets/textures/tournament_logo/8.png,8,11,Lliga Nacional de Fútbol,,0,1,1,1
9,Segona Divisió,res://assets/textures/tournament_logo/9.png,8,11,Andorran Segona Divisió,,0,1,2,1
10,Girabola,res://assets/textures/tournament_logo/10.png,9,18,Campeonato Nacional de Futebol em Séniores Masculinos,,0,1,1,1
11,Senior League,res://assets/textures/tournament_logo/11.png,10,12,AFA Senior Male League,,0,1,1,1
12,Premier Division,res://assets/textures/tournament_logo/12.png,11,12,Antigua and Barbuda Premier Division,,0,1,1,1
13,Primera División,res://assets/textures/tournament_logo/13.png,12,3,Liga Profesional de Fútbol,,0,1,1,1
14,Primera Nacional,res://assets/textures/tournament_logo/14.png,12,3,Primera Nacional,,0,1,2,1
15,Primera B Argentina,res://assets/textures/tournament_logo/15.png,12,3,Argentina Primera B Metropolitana,,0,1,3,1
16,Primera C Argentina,res://assets/textures/tournament_logo/16.png,12,3,Argentinian Primera C,,0,1,4,1
17,Premier League,res://assets/textures/tournament_logo/17.png,13,9,Armenian Premier League,,0,1,1,1
18,First League,res://assets/textures/tournament_logo/18.png,13,9,Armenian First League,,0,1,2,1
19,Division di Honor,res://assets/textures/tournament_logo/19.png,14,12,Aruban Division di Honor,,0,1,1,1
20,A-League,res://assets/textures/tournament_logo/20.png,16,23,Australian A-League,,0,1,1,1
21,Bundesliga,res://assets/textures/tournament_logo/21.png,17,11,Austrian Bundesliga,,0,1,1,1
22,Erste Liga,res://assets/textures/tournament_logo/22.png,17,11,Austrian Erste Liga,,0,1,2,1
23,Regional League,res://assets/textures/tournament_logo/23.png,17,11,Austrian Regional League,,0,1,3,1
24,Landesliga,res://assets/textures/tournament_logo/24.png,17,11,Austrian Landesliga,,0,1,4,1
25,Premier League,res://assets/textures/tournament_logo/25.png,18,9,Azerbaijani Premier League,,0,1,1,1
26,First Division,res://assets/textures/tournament_logo/26.png,18,9,Azerbaijan First Division,,0,1,2,1
27,Senior League,res://assets/textures/tournament_logo/27.png,19,12,BFA Senior League,,0,1,1,1
28,Premier League,res://assets/textures/tournament_logo/28.png,20,24,Bahrain Premier League,,0,1,1,1
29,Second Division,res://assets/textures/tournament_logo/29.png,20,24,Bahrain Second Division,,0,1,2,1
30,Premier League,res://assets/textures/tournament_logo/30.png,21,22,Bangladesh Premier League,,0,1,1,1
31,Championship,res://assets/textures/tournament_logo/31.png,21,22,Bangladesh Championship League,,0,1,2,1
32,Premier League,res://assets/textures/tournament_logo/32.png,22,12,Barbados Premier Division,,0,1,1,1
33,Division One,res://assets/textures/tournament_logo/33.png,22,12,Barbados Division One,,0,1,2,1
34,Vyscha Liga,res://assets/textures/tournament_logo/34.png,23,9,Belarus Vyscha Liga,,0,1,1,1
35,First League,res://assets/textures/tournament_logo/35.png,23,9,Belarusian First League,,0,1,2,1
36,Pro League,res://assets/textures/tournament_logo/36.png,24,11,Belgian Pro League,,0,1,1,1
37,Challenger Pro League,res://assets/textures/tournament_logo/37.png,24,11,Belgian Challenger Pro League,,0,1,2,1
38,Division One,res://assets/textures/tournament_logo/38.png,24,11,Belgian Division 1,,0,1,3,1
39,Premier League,res://assets/textures/tournament_logo/39.png,25,13,Belize Premier Football League,,0,1,1,1
40,Ligue 1,res://assets/textures/tournament_logo/40.png,26,19,Benin Championnat National,,0,1,1,1
41,Premier League,res://assets/textures/tournament_logo/41.png,27,12,Bermuda Premier League,,0,1,1,1
42,Premier League,res://assets/textures/tournament_logo/42.png,28,22,Bhutan Premier League,,0,1,1,1
43,Primera División,res://assets/textures/tournament_logo/43.png,29,3,Bolivian Primera División,,0,1,1,1
44,Divishon Honor,res://assets/textures/tournament_logo/44.png,30,12,Liga FFB,,0,1,1,1
45,Premier Liga,res://assets/textures/tournament_logo/45.png,31,9,Bosnian Premier Liga,,0,1,1,1
46,First League,res://assets/textures/tournament_logo/46.png,31,9,Bosnian First League,,0,1,2,1
47,Premier League,res://assets/textures/tournament_logo/47.png,32,18,Botswana Premier League,,0,1,1,1
48,Serie A,res://assets/textures/tournament_logo/48.png,33,3,Campeonato Brasileiro Série A,,0,1,1,1
49,Serie B,res://assets/textures/tournament_logo/49.png,33,3,Campeonato Brasileiro Série B,,0,1,2,1
50,Serie C,res://assets/textures/tournament_logo/50.png,33,3,Campeonato Brasileiro Série C,,0,1,3,1
51,Serie D,res://assets/textures/tournament_logo/51.png,33,3,Campeonato Brasileiro Série D,,0,1,4,1
52,National Football League,res://assets/textures/tournament_logo/52.png,34,12,BVIFA National Football League,,0,1,1,1
